"Database query built from user-controlled sources","Building a database query from user-controlled sources is vulnerable to insertion of malicious code by the user.","error","This query depends on [[""a user-provided value""|""relative:///server/apps/routes/auth.js:51:33:51:40""]].","/server/apps/routes/auth.js","58","37","58","45"
"Database query built from user-controlled sources","Building a database query from user-controlled sources is vulnerable to insertion of malicious code by the user.","error","This query depends on [[""a user-provided value""|""relative:///server/apps/routes/auth.js:79:23:79:30""]].","/server/apps/routes/auth.js","80","37","80","45"
"Database query built from user-controlled sources","Building a database query from user-controlled sources is vulnerable to insertion of malicious code by the user.","error","This query depends on [[""a user-provided value""|""relative:///server/apps/routes/auth.js:104:19:104:29""]].","/server/apps/routes/auth.js","105","37","105","45"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a file system access""|""relative:///server/apps/admin.js:49:7:49:75""]], but is not rate-limited.","/server/apps/admin.js","48","20","48","34"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a database access""|""relative:///server/apps/routes/auth.js:21:24:21:44""]], but is not rate-limited.
This route handler performs [[""a database access""|""relative:///server/apps/routes/auth.js:30:34:30:76""]], but is not rate-limited.
This route handler performs [[""authorization""|""relative:///server/apps/routes/auth.js:36:5:38:6""]], but is not rate-limited.","/server/apps/routes/auth.js","20","29","20","49"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a database access""|""relative:///server/apps/routes/auth.js:42:29:42:49""]], but is not rate-limited.","/server/apps/routes/auth.js","41","31","41","51"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a database access""|""relative:///server/apps/routes/auth.js:58:24:58:53""]], but is not rate-limited.
This route handler performs [[""authorization""|""relative:///server/apps/routes/auth.js:73:5:75:6""]], but is not rate-limited.","/server/apps/routes/auth.js","50","31","50","51"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a database access""|""relative:///server/apps/routes/auth.js:90:31:90:90""]], but is not rate-limited.","/server/apps/routes/auth.js","78","34","78","54"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a file system access""|""relative:///server/apps/routes/logs.js:13:28:13:92""]], but is not rate-limited.
This route handler performs [[""a file system access""|""relative:///server/apps/routes/logs.js:14:27:14:99""]], but is not rate-limited.","/server/apps/routes/logs.js","11","23","11","43"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a database access""|""relative:///server/apps/routes/site.js:12:5:13:47""]], but is not rate-limited.","/server/apps/routes/site.js","11","23","11","37"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a database access""|""relative:///server/utils/template-routes.js:11:26:11:71""]], but is not rate-limited.","/server/utils/template-routes.js","10","17","10","37"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a database access""|""relative:///server/utils/template-routes.js:19:22:19:75""]], but is not rate-limited.","/server/utils/template-routes.js","18","17","18","43"
