"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\n'.","/docs/scripts/prettify/lang-css.js","1","98","1","141"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\n'.","/docs/scripts/prettify/lang-css.js","1","161","1","204"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\n'.","/lib/codemirror/mode/erlang/erlang.js","346","28","346","34"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\\'.","/lib/codemirror/mode/markdown/markdown.js","624","32","624","51"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\\'.","/lib/codemirror/mode/markdown/markdown.js","624","55","624","74"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\\'.","/lib/codemirror/mode/markdown/markdown.js","624","79","624","98"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '#'.","/lib/codemirror/mode/python/python.js","233","48","233","49"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of ""\\"".","/Gulpfile.js","48","20","48","34"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of ""\\"".","/Gulpfile.js","57","20","57","34"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/tests/qunit/qunit-1.16.0.js","1679","17","1679","38"
"Incomplete URL scheme check","Checking for the ""javascript:"" URL scheme without also checking for ""vbscript:"" and ""data:"" suggests a logic error or even a security vulnerability.","warning","This check does not consider data: and vbscript:.","/editormd.amd.js","3589","21","3589","53"
"Incomplete URL scheme check","Checking for the ""javascript:"" URL scheme without also checking for ""vbscript:"" and ""data:"" suggests a logic error or even a security vulnerability.","warning","This check does not consider data: and vbscript:.","/editormd.js","3519","21","3519","53"
"Incomplete URL scheme check","Checking for the ""javascript:"" URL scheme without also checking for ""vbscript:"" and ""data:"" suggests a logic error or even a security vulnerability.","warning","This check does not consider data: and vbscript:.","/src/editormd.js","3507","21","3507","53"
"Incomplete URL scheme check","Checking for the ""javascript:"" URL scheme without also checking for ""vbscript:"" and ""data:"" suggests a logic error or even a security vulnerability.","warning","This check does not consider data: and vbscript:.","/tests/marked-@at-test.html","161","28","161","58"
"Useless regular-expression character escape","Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.","error","The escape sequence '\s' is equivalent to just 's', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///editormd.amd.js:3897:44:3897:105""]].","/editormd.amd.js","3897","47","3897","48"
"Useless regular-expression character escape","Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.","error","The escape sequence '\s' is equivalent to just 's', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///editormd.amd.js:3897:44:3897:105""]].","/editormd.amd.js","3897","61","3897","62"
